id,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto
43,1143,2023-11-24,entregue,1779.34,site,sim
44,2163,2023-09-03,entregue,1792.42,app,não
45,217,2023-07-27,entregue,1756.2,site,sim
46,2426,2023-02-20,entregue,711.78,site,não
47,1945,2023-09-04,cancelado,7697.54,site,sim
48,2672,2023-02-16,entregue,9639.94,marketplace,não
49,1454,2024-09-23,cancelado,668.18,site,não
50,2606,2024-06-20,devolvido,13858.34,app,não
51,1793,2023-12-12,cancelado,324.87,marketplace,não
52,2165,2024-03-30,cancelado,7339.27,marketplace,não
53,231,2024-04-24,em_transito,291.29,site,sim
54,455,2024-04-26,entregue,530.92,site,não
55,2596,2023-09-15,entregue,2248.91,app,sim
56,929,2023-11-29,entregue,291.92,app,não
57,1175,2024-11-20,entregue,899.19,marketplace,não
58,61,2023-09-21,devolvido,509.56,marketplace,não
59,1619,2023-06-16,entregue,123.99,site,não
60,1567,2024-04-11,entregue,1196.23,app,não
61,2797,2024-03-23,entregue,4065.66,marketplace,não
62,1494,2023-05-26,cancelado,2101.66,site,não
63,1591,2023-11-16,entregue,929.03,site,não
64,2658,2023-09-22,entregue,553.35,site,não
65,2205,2024-08-14,entregue,12901.55,site,não
66,42,2023-04-20,entregue,2029.14,marketplace,sim
67,937,2023-11-04,entregue,1807.65,app,não
68,1590,2024-02-18,cancelado,600.79,marketplace,não
69,1352,2024-07-17,entregue,834.85,site,não
70,1132,2024-03-06,cancelado,414.01,app,não
71,1739,2023-05-06,entregue,822.75,app,não
72,561,2023-03-20,entregue,273.25,app,sim
73,2306,2023-04-11,entregue,412.27,app,não
74,2751,2024-04-17,entregue,976.88,site,sim
75,1783,2024-01-14,entregue,1172.56,app,sim
76,1809,2023-11-15,entregue,1265.1,site,sim
77,1080,2024-05-07,cancelado,7476.74,marketplace,não
78,1994,2023-08-22,entregue,488.71,marketplace,não
79,1236,2023-11-29,entregue,477.24,marketplace,sim
80,1362,2024-02-08,em_transito,2236.95,marketplace,sim
81,1230,2024-04-04,entregue,1129.94,app,não
82,590,2023-03-11,entregue,865.5,marketplace,não
83,1643,2024-12-09,entregue,13450.19,site,não
84,1947,2024-02-21,entregue,1999.41,marketplace,não
85,1612,2023-08-28,cancelado,856.48,site,não
86,25,2023-01-27,devolvido,1936.85,marketplace,não
87,344,2023-12-02,devolvido,1089.79,marketplace,sim
88,786,2023-11-26,entregue,11182.81,app,não
89,2048,2023-12-19,cancelado,2130.83,app,não
90,989,2024-06-23,cancelado,476.89,app,sim
91,534,2023-07-31,entregue,464.88,site,não
92,424,2023-11-03,devolvido,1638.58,app,não
93,2015,2023-11-06,cancelado,419.31,site,não
94,1184,2024-07-19,entregue,604.74,app,não
95,1741,2023-01-09,entregue,2021.98,site,sim
96,1693,2024-08-05,cancelado,2492.3,marketplace,não
97,1629,2023-03-21,entregue,92.43,site,sim
98,80,2023-03-24,em_transito,1130.75,app,não
99,2807,2023-11-02,entregue,3525.84,app,não
100,1040,2024-01-21,entregue,2140.42,marketplace,não
101,1142,2024-03-19,entregue,579.06,site,não
102,1332,2023-06-10,entregue,2467.0,app,sim
103,897,2023-08-19,entregue,420.27,site,não
104,357,2024-08-09,devolvido,578.86,site,não
105,2307,2023-03-02,devolvido,1804.76,site,não
106,704,2023-06-20,entregue,537.36,marketplace,não
107,2567,2023-01-24,entregue,,app,sim
108,2029,2024-02-27,entregue,8411.78,site,não
109,2315,2023-06-25,entregue,489.84,marketplace,sim
110,1226,2023-09-01,cancelado,4256.2,marketplace,não
111,923,2023-06-10,em_transito,640.75,app,sim
112,1003,2023-02-11,em_transito,2019.24,site,sim
113,465,2023-08-20,entregue,1996.65,app,não
114,1659,2024-07-21,entregue,1964.92,marketplace,não
115,1006,2023-06-16,devolvido,1003.46,app,sim
116,30,2023-01-28,cancelado,2499.56,app,sim
117,1104,2023-04-03,devolvido,172.1,site,não
118,1609,2024-09-18,em_transito,321.22,marketplace,sim
119,812,2023-11-15,entregue,4528.9,app,sim
120,747,2023-10-02,entregue,531.78,marketplace,não
121,401,2023-07-05,entregue,1766.39,app,sim
122,2960,2024-03-09,entregue,2137.03,app,não
123,1570,2023-11-29,cancelado,2229.18,site,não
124,937,2023-11-19,cancelado,1862.31,marketplace,não
125,563,2023-07-15,entregue,1736.98,site,não
126,1302,2023-11-07,cancelado,277.91,marketplace,não
127,2729,2024-06-13,entregue,1605.15,app,sim
128,520,2023-09-15,entregue,1854.65,site,não
129,1042,2024-11-22,cancelado,1363.06,app,sim
130,31,2024-07-09,entregue,1095.61,app,não
131,813,2023-08-29,entregue,2465.86,site,não
132,2530,2023-06-19,entregue,745.9,app,não
133,2129,2024-05-30,entregue,2078.97,app,não
134,1314,2024-12-28,entregue,1977.68,app,sim
135,1630,2024-11-05,entregue,2312.23,marketplace,não
136,1307,2023-03-24,entregue,8554.01,marketplace,sim
137,36,2024-06-30,cancelado,2336.55,site,não
138,1229,2024-07-19,entregue,1908.38,app,não
139,372,2023-06-23,entregue,705.61,site,sim
140,2434,2023-11-01,cancelado,1061.24,marketplace,sim
141,163,2024-02-13,entregue,2082.68,site,sim
142,2379,2023-07-18,entregue,12621.33,site,não
143,949,2023-02-21,entregue,636.66,marketplace,não
144,728,2023-11-02,cancelado,2375.61,app,sim
145,2847,2023-11-01,entregue,1230.06,marketplace,sim
146,1640,2023-11-22,entregue,2106.14,marketplace,não
147,532,2023-08-12,entregue,14121.2,marketplace,sim
148,935,2023-07-24,entregue,1128.39,app,não
149,914,2023-07-30,cancelado,313.23,site,não
150,1061,2023-04-06,entregue,14111.02,app,não
151,1131,2023-10-22,em_transito,515.67,site,sim
152,1591,2024-05-03,devolvido,1887.57,app,não
153,1029,2023-07-04,em_transito,2052.41,marketplace,não
154,1939,2023-12-15,entregue,1120.21,site,não
155,2026,2024-08-01,entregue,1752.41,site,sim
156,2296,2023-11-12,entregue,7695.05,app,sim
157,1374,2024-05-28,entregue,1138.13,app,não
158,1471,2024-07-02,cancelado,5988.25,app,não
159,2326,2023-11-23,entregue,1303.82,app,não
160,2675,2023-11-01,entregue,1267.12,marketplace,sim
161,1974,2023-10-02,entregue,1823.5,site,sim
162,2472,2023-11-26,entregue,1348.07,site,sim
163,1249,2024-10-25,entregue,261.84,marketplace,sim
164,2141,2023-08-06,entregue,11052.25,app,sim
165,2670,2023-12-26,entregue,1052.81,app,não
166,1589,2024-02-18,em_transito,2256.28,marketplace,não
167,1217,2023-03-31,entregue,1308.3,marketplace,não
168,245,2024-05-01,entregue,2112.51,marketplace,sim
169,1371,2023-11-15,entregue,80.47,marketplace,não
170,1755,2023-11-29,entregue,642.51,site,sim
171,2086,2023-01-28,entregue,3559.36,app,não
172,493,2023-05-19,entregue,2223.0,site,não
173,1152,2024-09-21,cancelado,1146.74,site,não
174,894,2023-12-04,entregue,2071.34,marketplace,não
175,2346,2023-11-08,entregue,1743.19,marketplace,não
176,1973,2023-01-25,cancelado,1605.07,marketplace,não
177,2609,2023-05-22,devolvido,10569.81,site,sim
178,2298,2024-12-17,entregue,1021.64,site,não
179,1601,2023-03-04,entregue,13998.52,site,não
180,1944,2024-08-17,entregue,2097.34,marketplace,não
181,2321,2023-06-13,entregue,2731.82,app,não
182,836,2023-08-27,entregue,1851.72,app,não
183,1262,2023-06-25,entregue,539.43,app,não
184,2724,2023-03-31,em_transito,777.14,marketplace,não
185,79,2023-11-12,entregue,1063.81,marketplace,sim
186,736,2023-11-11,entregue,34.92,marketplace,sim
187,666,2023-10-06,entregue,1296.2,site,não
188,1005,2024-12-15,entregue,2060.4,site,sim
189,458,2024-05-29,entregue,960.96,site,não
190,2777,2023-11-29,entregue,2163.33,marketplace,não
191,422,2023-09-16,em_transito,1655.68,marketplace,não
192,382,2023-07-24,cancelado,312.66,app,sim
193,640,2023-11-02,entregue,106.79,site,não
194,2624,2023-03-09,entregue,401.05,app,sim
195,2254,2023-10-31,devolvido,835.83,app,não
196,79,2024-06-12,entregue,2415.87,marketplace,não
197,2650,2023-10-10,cancelado,1363.4,site,não
198,461,2024-01-30,entregue,7347.59,site,não
199,136,2023-01-18,entregue,1157.04,site,não
200,1726,2023-09-28,entregue,1499.31,app,não
201,1037,2024-06-18,devolvido,7526.02,marketplace,sim
202,1210,2024-11-04,entregue,5922.06,site,não
203,369,2023-06-09,entregue,481.12,site,não
204,1660,2024-12-22,entregue,,site,não
205,1203,2023-11-22,devolvido,2231.75,site,sim
206,911,2024-03-11,entregue,1647.81,app,não
207,1505,2023-10-13,cancelado,4024.54,marketplace,não
208,2090,2023-05-02,devolvido,1437.79,app,não
209,1514,2024-12-30,em_transito,14430.59,app,sim
210,1652,2024-09-10,em_transito,1037.15,marketplace,não
211,2382,2024-05-11,entregue,154.73,marketplace,sim
212,1585,2024-02-25,entregue,1059.87,marketplace,sim
213,2332,2023-07-01,devolvido,961.08,site,não
214,2461,2023-06-08,em_transito,9246.44,marketplace,não
215,883,2024-07-20,entregue,14601.79,marketplace,não
216,2030,2023-07-11,em_transito,6790.51,app,sim
217,2152,2024-06-19,devolvido,2038.35,app,sim
218,2163,2024-09-05,entregue,,site,sim
219,273,2023-02-20,em_transito,1755.04,marketplace,não
220,2527,2023-03-10,cancelado,10089.36,app,não
221,2995,2023-03-14,entregue,1305.97,site,não
222,2604,2024-04-26,entregue,1543.86,site,não
223,2750,2023-06-13,cancelado,2351.36,marketplace,sim
224,1350,2024-12-27,cancelado,1310.92,marketplace,sim
225,127,2024-05-11,entregue,2357.75,app,sim
226,2289,2024-02-15,em_transito,1433.91,site,não
227,140,2024-01-14,entregue,2201.99,app,sim
228,1008,2023-01-03,entregue,1040.33,app,não
229,1365,2023-06-06,entregue,1934.97,marketplace,não
230,1016,2023-11-11,entregue,1785.73,app,sim
231,2690,2024-11-07,entregue,1029.62,marketplace,sim
232,2032,2023-06-23,entregue,2427.58,site,sim
233,2358,2023-07-03,entregue,853.81,site,não
234,2448,2024-08-27,entregue,507.64,site,não
235,2998,2023-10-28,entregue,,app,não
236,1110,2023-01-27,cancelado,1350.33,app,não
237,1292,2023-01-06,devolvido,6496.31,marketplace,sim
238,293,2024-10-06,em_transito,1729.51,site,não
239,368,2023-09-02,entregue,1359.39,marketplace,sim
240,1571,2023-09-19,entregue,211.24,site,não
241,1411,2023-03-22,entregue,2241.14,marketplace,não
242,2537,2024-01-10,entregue,2196.11,site,não
243,1937,2023-11-10,devolvido,2008.86,site,não
244,1277,2023-11-09,em_transito,644.15,site,não
245,613,2024-07-06,entregue,1483.76,site,não
246,2996,2023-11-17,em_transito,1373.65,app,não
247,2574,2023-01-22,entregue,8337.03,marketplace,sim
248,2491,2023-04-03,entregue,1110.2,app,não
249,2959,2024-03-03,entregue,2333.38,site,não
250,1080,2024-05-30,cancelado,12686.26,marketplace,não
251,2479,2023-02-13,entregue,2448.25,marketplace,não
252,2520,2023-11-27,devolvido,9623.42,marketplace,não
253,324,2023-11-22,entregue,267.73,site,não
254,2298,2023-11-06,entregue,1655.6,app,sim
255,133,2024-04-10,entregue,74.68,marketplace,sim
256,2778,2023-11-16,entregue,4538.48,app,não
257,233,2024-11-26,cancelado,13818.74,marketplace,não
258,261,2023-03-17,entregue,1831.11,marketplace,não
259,1991,2024-02-22,devolvido,474.11,site,sim
260,1540,2024-01-08,em_transito,370.53,site,não
261,1234,2023-11-12,cancelado,2270.82,app,sim
262,2118,2023-12-05,entregue,132.58,site,não
263,35,2023-05-13,entregue,1613.45,marketplace,não
264,33,2024-08-24,cancelado,564.4,site,sim
265,676,2023-11-24,entregue,383.61,site,sim
266,1389,2023-07-24,cancelado,1434.01,app,não
267,460,2023-07-11,entregue,9537.57,app,não
268,1899,2024-05-19,entregue,705.19,app,não
269,180,2024-07-24,entregue,734.72,marketplace,sim
270,510,2024-10-07,entregue,1383.62,marketplace,não
271,2169,2023-10-17,entregue,1033.18,app,não
272,2810,2023-05-07,entregue,159.26,app,não
273,962,2024-02-23,cancelado,12685.17,site,sim
274,1834,2023-11-15,cancelado,1071.35,marketplace,não
275,806,2023-03-06,entregue,97.12,app,não
276,18,2023-11-08,cancelado,2379.29,marketplace,não
277,1295,2023-12-22,entregue,182.74,marketplace,sim
278,308,2024-08-27,entregue,169.84,app,não
279,1497,2024-11-27,entregue,2469.16,app,não
280,2961,2024-08-09,entregue,1618.17,marketplace,não
281,1630,2023-11-04,entregue,845.34,marketplace,não
282,798,2024-12-31,entregue,1579.19,marketplace,não
283,29,2024-04-24,cancelado,2427.31,site,não
284,1942,2023-04-01,devolvido,2020.11,marketplace,sim
285,105,2024-03-18,entregue,498.44,app,não
286,2473,2023-08-06,entregue,1426.84,marketplace,não
287,164,2024-07-28,cancelado,12324.42,site,não
288,1885,2024-08-30,entregue,438.38,marketplace,não
289,2905,2024-07-01,entregue,145.43,app,sim
290,2357,2023-11-23,cancelado,1553.61,site,sim
291,2115,2023-05-22,em_transito,1251.77,site,sim
292,612,2023-01-10,entregue,2055.1,marketplace,não
293,1101,2023-05-10,entregue,2317.17,app,sim
294,2496,2023-07-26,entregue,39.34,marketplace,não
295,1008,2023-06-08,cancelado,1098.27,site,não
296,526,2024-04-23,entregue,2349.91,app,não
297,2867,2024-02-12,cancelado,,app,não
298,2288,2023-09-01,cancelado,5358.34,app,sim
299,1247,2023-10-22,cancelado,122.86,site,não
300,2982,2023-11-29,entregue,1698.23,app,não
301,1503,2024-03-14,entregue,2317.23,app,não
302,655,2023-11-02,cancelado,501.55,site,não
303,2599,2024-02-18,em_transito,1830.45,app,sim
304,1291,2024-10-23,cancelado,1321.11,marketplace,sim
305,2338,2024-08-11,cancelado,2110.02,marketplace,não
306,2453,2024-06-02,entregue,11231.35,app,não
307,59,2024-09-03,entregue,2064.16,marketplace,não
308,887,2023-08-16,entregue,6024.59,marketplace,sim
309,2245,2024-06-30,entregue,13071.85,marketplace,sim
310,2304,2023-08-22,cancelado,1758.51,app,sim
311,2864,2023-06-17,em_transito,12341.0,site,não
312,1246,2023-11-04,devolvido,2324.99,site,sim
313,1889,2024-12-13,entregue,1298.08,app,não
314,528,2024-06-22,entregue,1223.2,marketplace,sim
315,1189,2023-11-17,entregue,220.28,site,não
316,1047,2024-01-14,cancelado,1450.14,app,não
317,1111,2024-11-26,entregue,10457.13,app,não
318,1585,2024-11-25,entregue,1563.61,marketplace,não
319,1618,2023-02-21,cancelado,13260.83,marketplace,não
320,543,2023-11-14,entregue,817.08,app,não
321,1138,2024-11-12,em_transito,826.51,marketplace,não
322,2022,2023-06-26,entregue,708.26,app,sim
323,1829,2024-02-29,devolvido,749.19,marketplace,sim
324,1568,2023-11-29,entregue,2232.68,site,não
325,2099,2024-04-28,entregue,2010.14,app,não
326,1666,2024-03-12,entregue,606.45,site,sim
327,172,2024-04-08,em_transito,6419.03,site,sim
328,1097,2023-08-06,entregue,1155.72,marketplace,não
329,2215,2024-07-01,cancelado,1533.52,site,não
330,871,2024-08-15,entregue,1100.15,site,sim
331,2443,2024-08-12,entregue,703.66,app,não
332,449,2024-02-03,entregue,62.56,marketplace,sim
333,839,2024-01-22,entregue,2470.01,marketplace,não
334,1319,2024-10-16,entregue,2224.03,site,não
335,2247,2023-11-22,entregue,1801.55,app,sim
336,182,2023-04-03,em_transito,1513.15,app,não
337,1149,2023-01-18,entregue,801.08,app,sim
338,1803,2024-04-27,entregue,1166.88,app,não
339,466,2023-03-10,cancelado,14904.73,marketplace,não
340,826,2023-11-17,entregue,1527.74,marketplace,não
341,1624,2023-10-11,entregue,423.16,site,não
342,1759,2023-11-21,cancelado,960.56,app,não
343,1882,2024-05-07,em_transito,548.17,app,não
344,2867,2023-11-13,entregue,14515.79,site,não
345,378,2024-06-26,entregue,1266.61,site,sim
346,1563,2023-12-15,entregue,1496.49,marketplace,sim
347,626,2024-04-16,entregue,1644.8,marketplace,sim
348,2373,2023-11-05,entregue,1445.83,site,sim
349,1755,2023-10-07,entregue,1605.27,marketplace,sim
350,1150,2024-04-02,entregue,670.94,marketplace,não
351,2034,2023-07-27,em_transito,13238.65,marketplace,não
352,163,2023-08-04,entregue,901.27,app,sim
353,238,2023-11-06,entregue,1533.06,app,não
354,1659,2023-08-04,entregue,1293.96,marketplace,não
355,638,2024-12-02,entregue,402.82,app,não
356,739,2023-11-21,entregue,854.34,marketplace,sim
357,2240,2023-11-30,entregue,1363.85,marketplace,não
358,403,2023-05-18,entregue,1236.48,site,não
359,2442,2023-11-04,entregue,2413.35,site,não
360,2273,2024-07-20,devolvido,583.04,marketplace,não
361,1789,2024-09-14,em_transito,629.25,app,sim
362,1344,2024-09-20,cancelado,13042.95,app,não
363,1452,2023-01-14,cancelado,1921.88,app,não
364,894,2023-11-11,entregue,1712.92,app,não
365,135,2024-10-21,entregue,1698.49,site,não
366,2912,2023-09-27,entregue,2455.18,site,não
367,313,2023-11-12,em_transito,1638.96,app,não
368,930,2023-11-27,entregue,1353.31,site,não
369,1612,2024-06-30,cancelado,122.56,marketplace,não
370,1845,2024-07-04,devolvido,381.05,site,não
371,2571,2024-03-12,entregue,1198.38,marketplace,não
372,950,2024-03-09,em_transito,2041.58,marketplace,sim
373,552,2024-05-06,cancelado,7837.46,site,sim
374,2386,2024-01-10,cancelado,425.61,app,não
375,2714,2023-04-17,entregue,1412.11,marketplace,não
376,560,2023-04-01,entregue,13865.62,app,não
377,929,2023-11-04,entregue,2481.88,site,não
378,2568,2024-07-04,cancelado,89.2,site,não
379,1195,2024-04-27,entregue,332.16,marketplace,não
380,2232,2023-03-26,entregue,1859.59,marketplace,não
381,1740,2023-11-01,cancelado,429.06,app,sim
382,386,2024-07-19,entregue,2358.7,site,não
383,1229,2024-11-14,entregue,2226.72,app,não
384,2304,2024-05-13,cancelado,347.3,app,não
385,2196,2024-11-11,em_transito,2428.6,marketplace,não
386,621,2024-10-11,em_transito,1880.28,app,não
387,1575,2023-07-11,entregue,961.47,site,não
388,1547,2024-02-28,entregue,14962.04,app,não
389,1139,2023-02-02,devolvido,2437.77,site,não
390,2514,2023-02-10,devolvido,3526.97,site,não
391,905,2024-05-14,entregue,7378.12,app,não
392,614,2023-10-10,cancelado,755.6,app,não
393,1436,2023-11-10,em_transito,1102.67,app,sim
394,1544,2023-04-23,entregue,1239.35,marketplace,sim
395,2325,2024-01-01,em_transito,972.04,marketplace,não
396,2387,2024-10-16,entregue,1113.52,site,não
397,380,2023-02-16,entregue,2150.04,site,não
398,1325,2023-11-06,cancelado,877.89,marketplace,não
399,1111,2024-11-30,devolvido,6290.29,app,sim
400,2196,2023-01-01,entregue,625.76,app,sim
401,1480,2024-12-13,entregue,1463.24,site,sim
402,469,2024-08-25,entregue,1182.4,app,não
403,549,2023-01-09,entregue,825.91,app,sim
404,1784,2024-06-10,cancelado,8160.88,site,não
405,410,2024-07-02,em_transito,241.86,app,sim
406,378,2023-09-14,entregue,1351.11,site,sim
407,61,2024-07-15,entregue,270.37,site,não
408,2149,2023-11-05,entregue,1151.73,site,sim
409,2670,2023-05-27,devolvido,1651.67,app,sim
410,296,2023-09-27,cancelado,514.55,site,não
411,800,2023-11-17,devolvido,2442.71,app,não
412,2849,2023-11-11,entregue,11243.06,site,sim
413,112,2024-05-06,cancelado,216.21,site,sim
414,581,2023-11-28,entregue,647.13,app,não
415,528,2023-05-20,entregue,2478.3,app,sim
416,535,2023-06-30,entregue,375.4,site,sim
417,2515,2023-03-19,entregue,787.67,site,sim
418,934,2024-01-08,em_transito,318.36,site,sim
419,2449,2024-02-26,entregue,2330.49,marketplace,sim
420,1223,2023-11-02,entregue,1988.84,marketplace,sim
421,1762,2023-10-02,cancelado,1832.32,site,não
422,1792,2024-10-13,entregue,2265.13,marketplace,não
423,2347,2024-10-02,entregue,1195.59,app,sim
424,378,2023-07-01,em_transito,1028.58,app,não
425,272,2024-02-04,entregue,638.33,site,não
426,1707,2023-04-18,entregue,14892.98,app,sim
427,2383,2023-06-13,devolvido,1950.31,app,não
428,1614,2023-11-22,entregue,544.69,marketplace,não
429,1671,2024-10-11,entregue,867.54,marketplace,sim
430,2897,2024-02-02,em_transito,2685.65,app,sim
431,642,2024-10-22,em_transito,2378.73,marketplace,não
432,920,2023-08-06,entregue,8453.67,marketplace,não
433,2740,2024-02-27,entregue,1359.85,site,sim
434,2617,2024-09-15,cancelado,220.59,marketplace,sim
435,2760,2023-03-27,entregue,11833.37,site,não
436,363,2023-11-01,cancelado,1200.74,app,não
437,681,2023-01-05,entregue,1545.46,site,não
438,2915,2023-11-29,entregue,709.49,site,sim
439,502,2024-02-12,entregue,1939.95,site,não
440,1139,2024-08-15,cancelado,12715.5,marketplace,sim
441,841,2023-07-15,entregue,372.58,marketplace,não
442,2412,2023-11-04,entregue,2057.03,site,sim
443,328,2023-04-23,cancelado,976.67,site,sim
444,2542,2024-11-19,entregue,2225.85,site,sim
445,2458,2023-11-04,cancelado,894.26,app,não
446,1644,2023-09-10,entregue,11105.03,marketplace,sim
447,798,2023-10-06,entregue,2296.58,app,não
448,841,2023-10-08,cancelado,725.17,marketplace,não
449,2832,2023-03-05,devolvido,1249.25,site,sim
450,1029,2023-04-04,entregue,2439.04,site,não
451,2716,2023-01-26,devolvido,1650.71,site,não
452,159,2024-07-29,devolvido,2316.8,app,não
453,136,2023-03-16,entregue,638.73,marketplace,sim
454,822,2023-12-04,entregue,2223.74,app,não
455,809,2023-11-02,entregue,2461.39,marketplace,sim
456,2424,2023-11-30,entregue,11914.46,marketplace,sim
457,354,2023-04-29,cancelado,271.47,site,não
458,67,2023-11-07,entregue,2427.5,app,não
459,362,2023-05-03,devolvido,7160.96,site,não
460,1985,2023-03-18,entregue,6824.03,marketplace,não
461,1559,2024-03-14,entregue,3963.21,site,não
462,2610,2024-09-21,entregue,966.01,site,não
463,694,2023-06-05,entregue,2196.14,site,sim
464,1375,2023-02-22,entregue,1100.36,app,não
465,1666,2023-12-19,entregue,828.24,app,não
466,1278,2023-01-03,entregue,10949.63,site,sim
467,2392,2024-12-22,entregue,1328.51,marketplace,não
468,2477,2024-08-06,entregue,174.14,marketplace,não
469,2576,2023-12-15,entregue,2349.53,app,não
470,1492,2023-10-31,entregue,1606.23,site,sim
471,1656,2024-10-31,entregue,93.95,app,não
472,93,2023-03-26,devolvido,1645.16,app,sim
473,21,2024-01-23,entregue,14434.77,marketplace,não
474,2869,2023-04-16,cancelado,1606.28,site,não
475,2456,2023-11-09,entregue,1354.66,site,sim
476,788,2023-04-24,entregue,1988.08,site,sim
477,2262,2023-06-29,entregue,62.53,marketplace,sim
478,638,2024-01-02,entregue,763.99,marketplace,sim
479,2975,2023-10-02,entregue,316.08,app,não
480,2886,2023-11-08,entregue,2070.33,app,não
481,1306,2024-03-29,entregue,1618.53,site,não
482,32,2024-03-23,cancelado,1759.52,app,não
483,2280,2024-09-05,entregue,923.55,app,não
484,299,2023-11-10,em_transito,1789.37,site,sim
485,2512,2023-05-10,cancelado,1886.3,marketplace,não
486,2277,2024-04-10,cancelado,1583.16,app,não
487,2628,2024-07-22,entregue,982.25,marketplace,não
488,2291,2023-01-26,em_transito,1177.71,marketplace,não
489,598,2023-11-27,em_transito,6947.18,marketplace,não
490,2952,2024-08-12,entregue,828.21,site,sim
491,1525,2023-11-10,cancelado,8398.6,marketplace,sim
492,3,2024-09-09,entregue,150.63,app,sim
493,2130,2024-07-10,cancelado,194.69,app,sim
494,1883,2024-04-08,entregue,2237.39,app,sim
495,1820,2023-08-17,entregue,200.71,app,não
496,574,2024-10-12,entregue,510.29,site,não
497,659,2024-02-12,entregue,1165.78,app,não
498,739,2023-01-10,entregue,1867.55,marketplace,não
499,1235,2023-02-02,entregue,1782.31,app,sim
500,1401,2024-02-12,entregue,1350.41,marketplace,sim
501,2396,2024-01-29,devolvido,1420.86,site,não
502,674,2023-03-04,entregue,1653.18,site,não
503,2457,2023-07-05,entregue,1358.42,site,não
504,928,2023-11-01,entregue,999.01,site,não
505,2458,2023-11-06,em_transito,1512.59,site,não
506,357,2024-07-08,em_transito,917.18,site,sim
507,1664,2023-08-03,devolvido,2090.51,app,não
508,1454,2023-08-09,devolvido,1478.33,site,não
509,1468,2023-11-05,entregue,1688.42,site,sim
510,2634,2024-01-18,entregue,9260.83,marketplace,sim
511,239,2023-07-08,entregue,873.73,marketplace,sim
512,1395,2024-11-24,cancelado,188.06,app,não
513,2457,2024-04-05,cancelado,382.29,marketplace,sim
514,1410,2023-08-11,cancelado,234.62,site,não
515,1907,2024-07-01,entregue,1119.5,site,sim
516,53,2023-05-02,entregue,1899.63,marketplace,sim
517,428,2024-11-17,em_transito,1086.93,app,não
518,240,2024-11-05,entregue,1906.37,app,sim
519,2358,2023-03-30,entregue,1207.67,marketplace,sim
520,2955,2023-06-09,entregue,1697.68,site,não
521,2785,2023-01-25,entregue,1210.22,app,não
522,555,2024-12-01,cancelado,5658.17,app,sim
523,1551,2024-06-13,entregue,1296.19,marketplace,não
524,344,2023-11-28,entregue,505.64,site,sim
525,1003,2023-12-11,entregue,2272.42,site,sim
526,2857,2023-11-05,entregue,1510.61,app,não
527,1557,2023-05-10,cancelado,1352.37,app,sim
528,2269,2024-11-30,entregue,8766.81,app,não
529,862,2023-05-23,entregue,1953.99,site,não
530,1589,2023-06-17,entregue,753.31,marketplace,não
531,903,2024-01-13,cancelado,1234.99,site,não
532,1415,2023-09-12,em_transito,932.62,app,não
533,1581,2024-02-25,entregue,7913.98,app,não
534,1142,2024-08-14,devolvido,83.55,app,não
535,24,2024-08-15,em_transito,1064.45,site,não
536,450,2024-11-19,devolvido,1921.81,site,não
