id,pedido_id,cliente_id,categoria_problema,data_abertura,data_resolucao,status
140,9898,696,dúvida,2023-11-22,2023-11-29,resolvido
141,11047,203,dúvida,2023-05-23,2023-05-25,resolvido
142,11081,2700,atraso,2023-01-26,2023-02-03,resolvido
143,4864,717,atraso,2023-09-30,,escalado
144,13233,2217,defeito,2024-05-23,,aberto
145,6831,2769,defeito,2023-09-03,2023-09-08,resolvido
146,10940,38,cobrança,2024-02-22,,escalado
147,5761,788,atraso,2023-05-23,2023-06-09,resolvido
148,3874,2251,dúvida,2024-07-13,,aberto
149,7683,1548,atraso,2023-05-26,2023-06-11,resolvido
150,3466,802,cobrança,2024-09-24,,aberto
151,7842,1419,troca,2023-11-18,2023-11-28,resolvido
152,3514,2523,dúvida,2024-05-31,,aberto
153,12677,1731,atraso,2023-10-13,,aberto
154,14713,641,dúvida,2024-03-11,2024-03-17,resolvido
155,5396,1545,atraso,2023-11-30,,aberto
156,6528,2378,cobrança,2024-05-28,,aberto
157,2022,256,cobrança,2023-05-12,,escalado
158,7369,637,defeito,2024-08-15,,escalado
159,208,2090,troca,2023-05-14,,aberto
160,2899,706,dúvida,2024-11-30,2024-12-05,resolvido
161,6882,1009,defeito,2023-06-28,2023-07-06,resolvido
162,11076,2417,dúvida,2024-01-19,,aberto
163,506,357,dúvida,2024-07-19,2024-07-26,resolvido
164,4195,65,troca,2023-05-04,2023-05-14,resolvido
165,8832,2715,cobrança,2024-12-28,2024-12-30,resolvido
166,13001,899,cobrança,2024-07-29,2024-08-07,resolvido
167,5966,2441,dúvida,2023-10-24,2023-11-03,resolvido
168,2034,925,cobrança,2023-12-05,2023-12-07,resolvido
169,7784,610,cobrança,2024-12-13,,escalado
170,2530,1486,defeito,2024-12-31,2025-01-03,resolvido
171,10406,352,cobrança,2023-02-20,2023-02-22,resolvido
172,1823,2545,atraso,2024-10-10,,aberto
173,11540,2789,cobrança,2023-11-24,2023-12-03,resolvido
174,7634,2303,dúvida,2024-02-08,,escalado
175,14865,1472,defeito,2024-02-19,,escalado
176,7870,575,dúvida,2024-01-05,2024-01-15,resolvido
177,8843,2194,defeito,2024-11-10,2024-11-19,resolvido
178,11183,1136,dúvida,2023-12-23,,aberto
179,3548,2853,atraso,2024-04-30,2024-05-11,resolvido
180,11180,2832,defeito,2024-06-14,,aberto
181,3437,1417,cobrança,2024-07-06,,aberto
182,9687,436,defeito,2023-11-25,2023-12-01,resolvido
183,7984,459,dúvida,2024-09-13,2024-09-19,resolvido
184,8625,2693,cobrança,2024-03-23,2024-03-25,resolvido
185,5876,1569,dúvida,2024-07-07,2024-07-13,resolvido
186,14331,467,dúvida,2024-11-27,,escalado
187,7426,1821,troca,2023-04-04,,aberto
188,1987,2024,troca,2024-09-28,,escalado
189,7674,780,atraso,2023-03-03,,aberto
190,14497,1836,dúvida,2023-12-03,2023-12-13,resolvido
191,7503,2012,atraso,2023-09-17,2023-09-25,resolvido
192,12945,346,dúvida,2023-05-19,,escalado
193,1901,653,defeito,2024-08-04,2024-08-10,resolvido
194,7251,1605,defeito,2024-10-01,,aberto
195,13038,1036,defeito,2023-12-16,2023-12-20,resolvido
196,5888,2134,dúvida,2023-05-30,2023-06-04,resolvido
197,13356,58,defeito,2024-09-29,,escalado
198,10946,1098,troca,2024-12-31,2025-01-06,resolvido
199,9492,55,dúvida,2024-05-12,2024-05-21,resolvido
200,6653,919,dúvida,2024-05-14,2024-05-15,resolvido
201,781,1299,atraso,2023-08-13,2023-08-19,resolvido
202,7276,2238,dúvida,2024-11-07,2024-11-10,resolvido
203,9815,473,troca,2024-09-22,2024-09-25,resolvido
204,7539,987,dúvida,2023-09-16,2023-09-17,resolvido
205,11874,141,cobrança,2024-04-11,,escalado
206,10495,2967,troca,2023-09-28,2023-09-30,resolvido
207,14914,2988,troca,2023-08-21,2023-08-23,resolvido
208,5301,690,cobrança,2024-10-26,2024-10-30,resolvido
209,7820,2557,cobrança,2023-11-22,2023-11-25,resolvido
210,5664,1037,defeito,2023-03-02,2023-03-05,resolvido
211,4794,640,cobrança,2023-04-19,2023-04-28,resolvido
212,2830,388,dúvida,2024-06-22,2024-06-28,resolvido
213,12230,604,atraso,2024-02-01,2024-02-08,resolvido
214,136,1307,dúvida,2023-04-14,2023-04-16,resolvido
215,13044,1758,defeito,2024-12-11,,aberto
216,7552,1766,troca,2024-04-27,2024-04-30,resolvido
217,4768,1433,atraso,2023-11-27,,escalado
218,5731,2342,dúvida,2023-04-14,2023-04-24,resolvido
219,8399,488,atraso,2024-02-10,2024-02-21,resolvido
220,4531,1408,cobrança,2023-08-22,2023-08-23,resolvido
221,10061,356,atraso,2023-06-23,,escalado
222,415,528,defeito,2023-06-06,2023-06-13,resolvido
223,3299,108,dúvida,2024-11-19,,escalado
224,2757,2442,dúvida,2023-11-03,,aberto
225,14255,2361,atraso,2023-03-04,2023-03-09,resolvido
226,731,1108,defeito,2023-12-01,2023-12-05,resolvido
227,1469,48,defeito,2023-12-20,,escalado
228,981,29,dúvida,2023-11-03,2023-11-10,resolvido
229,3987,2857,defeito,2024-11-14,2024-11-18,resolvido
230,8032,2223,atraso,2023-04-08,,escalado
231,8579,49,atraso,2023-03-23,2023-03-28,resolvido
232,14770,2018,atraso,2024-12-17,,escalado
233,10781,459,cobrança,2023-04-29,2023-04-30,resolvido
234,10809,1193,defeito,2024-02-13,2024-02-19,resolvido
235,6015,2229,defeito,2024-09-04,2024-09-12,resolvido
236,387,1575,atraso,2023-07-21,,aberto
237,7675,383,troca,2023-07-08,,escalado
238,397,380,atraso,2023-03-02,2023-03-10,resolvido
239,1084,152,atraso,2023-04-27,,escalado
240,11461,1968,dúvida,2023-11-21,2023-11-26,resolvido
241,221,2995,troca,2023-04-08,2023-04-11,resolvido
242,2986,2219,cobrança,2023-12-31,2024-01-07,resolvido
243,8335,621,dúvida,2024-08-30,,aberto
244,4445,2705,defeito,2024-05-26,2024-06-04,resolvido
245,695,397,troca,2023-07-14,,aberto
246,1518,1804,dúvida,2023-10-16,2023-10-20,resolvido
247,27,104,atraso,2023-11-12,2023-11-19,resolvido
248,370,1845,dúvida,2024-07-16,,aberto
249,12210,2522,defeito,2023-03-22,2023-03-25,resolvido
250,1357,2361,dúvida,2024-12-28,2024-12-29,resolvido
251,10350,493,atraso,2024-09-29,2024-10-10,resolvido
252,12049,1091,cobrança,2023-03-19,,aberto
253,2858,317,atraso,2024-02-20,,escalado
254,9541,646,dúvida,2024-05-18,,aberto
255,2015,2825,troca,2023-09-05,,escalado
256,235,2998,troca,2023-11-26,2023-12-02,resolvido
257,2042,504,troca,2024-03-07,2024-03-08,resolvido
258,2447,1792,troca,2024-10-18,,escalado
259,9401,76,troca,2023-05-23,,aberto
260,11263,2223,cobrança,2023-04-03,2023-04-04,resolvido
261,14393,2953,atraso,2024-05-27,,aberto
262,7491,2477,dúvida,2024-12-31,2025-01-08,resolvido
263,9585,994,defeito,2023-12-09,2023-12-12,resolvido
264,14446,2821,dúvida,2024-11-11,2024-11-19,resolvido
265,13423,1171,troca,2024-04-04,2024-04-07,resolvido
266,5119,1670,dúvida,2023-07-01,2023-07-02,resolvido
267,11993,54,troca,2024-09-27,2024-09-29,resolvido
268,797,1038,dúvida,2024-06-01,,escalado
269,4699,1330,troca,2024-12-25,2024-12-29,resolvido
270,14345,940,cobrança,2024-10-11,2024-10-15,resolvido
271,13279,2213,defeito,2023-03-12,2023-03-21,resolvido
272,10551,704,defeito,2023-06-26,2023-07-02,resolvido
273,10768,133,dúvida,2023-04-08,2023-04-09,resolvido
274,4093,2531,atraso,2024-07-25,2024-08-13,resolvido
275,11088,100,atraso,2023-12-06,2023-12-26,resolvido
276,4394,1629,dúvida,2023-01-24,,escalado
277,3952,1556,atraso,2024-05-23,,escalado
278,998,2941,dúvida,2024-10-17,,escalado
279,8705,2396,cobrança,2023-11-14,,aberto
280,8017,53,atraso,2024-12-28,,aberto
281,5458,1932,dúvida,2023-04-09,,escalado
282,12520,2308,defeito,2024-04-19,2024-04-25,resolvido
283,11186,989,cobrança,2024-08-27,2024-09-06,resolvido
284,7574,580,cobrança,2023-06-01,2023-06-02,resolvido
285,4509,655,atraso,2023-03-29,,aberto
286,13923,2405,atraso,2024-07-07,,escalado
287,1185,567,troca,2024-12-06,,aberto
288,4555,2986,dúvida,2024-10-13,2024-10-22,resolvido
289,6661,2775,atraso,2023-10-27,,aberto
290,3246,1703,troca,2023-11-04,,aberto
291,12913,1520,dúvida,2024-10-08,2024-10-10,resolvido
292,6414,2274,dúvida,2023-05-12,,escalado
293,10054,1657,troca,2024-07-29,,escalado
294,9981,1162,dúvida,2023-07-20,,aberto
295,5167,369,defeito,2024-12-20,2024-12-23,resolvido
296,7235,2282,troca,2024-10-19,,aberto
297,3720,2580,cobrança,2024-12-12,,aberto
298,11126,2902,atraso,2024-04-17,,aberto
299,10170,1787,cobrança,2023-11-10,,escalado
300,9368,1909,cobrança,2023-05-12,,escalado
301,6302,2091,dúvida,2023-12-06,,aberto
302,3703,1596,dúvida,2023-04-20,2023-04-24,resolvido
303,196,79,dúvida,2024-06-14,2024-06-21,resolvido
304,14806,1636,dúvida,2024-04-21,,escalado
305,4871,1585,cobrança,2023-05-01,2023-05-08,resolvido
306,290,2357,cobrança,2023-12-10,2023-12-17,resolvido
307,4026,1493,dúvida,2024-02-29,,escalado
308,284,1942,troca,2023-04-12,2023-04-22,resolvido
309,6240,1051,dúvida,2023-06-15,2023-06-16,resolvido
310,4855,2370,cobrança,2023-09-14,,escalado
311,13040,759,troca,2023-08-29,2023-08-30,resolvido
312,5747,17,dúvida,2024-03-03,,escalado
313,7333,556,dúvida,2024-02-09,2024-02-16,resolvido
314,2547,1078,troca,2023-11-16,2023-11-24,resolvido
315,12532,2913,atraso,2023-05-09,,escalado
316,1748,1239,troca,2023-12-14,2023-12-21,resolvido
317,7449,1762,dúvida,2023-11-19,2023-11-28,resolvido
318,10440,2148,troca,2023-03-13,2023-03-18,resolvido
319,3382,2646,defeito,2023-12-07,,escalado
320,1284,2286,dúvida,2023-03-18,,aberto
321,4314,1651,cobrança,2024-10-13,,escalado
322,12534,586,dúvida,2024-06-23,,escalado
323,9602,2580,troca,2024-12-30,2025-01-07,resolvido
324,11813,518,dúvida,2024-06-10,,escalado
325,7137,2464,cobrança,2024-05-10,2024-05-14,resolvido
326,13805,1420,atraso,2023-07-23,,aberto
327,5368,525,atraso,2023-04-30,2023-05-17,resolvido
328,11883,1491,dúvida,2023-12-20,,escalado
329,5815,2302,dúvida,2023-06-21,,aberto
330,7894,563,cobrança,2024-11-26,2024-12-05,resolvido
331,1538,1616,cobrança,2023-12-03,2023-12-08,resolvido
332,13618,1276,atraso,2023-12-04,,aberto
333,1730,2447,atraso,2023-03-27,2023-04-13,resolvido
334,14723,1359,defeito,2024-04-12,2024-04-17,resolvido
335,10955,2145,troca,2023-07-09,2023-07-12,resolvido
336,5450,2845,troca,2023-12-12,2023-12-18,resolvido
337,6012,2091,defeito,2023-04-16,2023-04-24,resolvido
338,7003,2011,troca,2024-03-03,2024-03-13,resolvido
339,8976,1775,atraso,2023-12-02,2023-12-22,resolvido
340,6775,875,defeito,2023-02-10,2023-02-12,resolvido
341,12190,133,dúvida,2023-08-09,,escalado
342,1555,2150,dúvida,2023-12-22,,aberto
343,912,2636,troca,2024-12-08,,aberto
344,14238,2909,troca,2023-12-28,,aberto
345,5717,1293,dúvida,2024-12-31,,aberto
346,8149,2948,dúvida,2024-06-25,2024-07-03,resolvido
347,4515,1935,dúvida,2023-07-10,2023-07-17,resolvido
348,4992,2329,dúvida,2024-05-17,,aberto
349,6264,1822,troca,2023-08-04,,escalado
350,10016,2939,defeito,2024-10-08,,escalado
351,14164,1391,atraso,2024-09-18,2024-09-30,resolvido
352,7055,372,cobrança,2023-02-12,,escalado
353,6666,2119,cobrança,2023-06-06,2023-06-16,resolvido
354,3858,2392,dúvida,2023-12-12,,aberto
355,2177,1918,dúvida,2024-04-14,,aberto
356,8047,2431,atraso,2023-12-10,2023-12-21,resolvido
357,10991,589,cobrança,2024-09-19,,aberto
358,4873,101,cobrança,2023-11-01,2023-11-03,resolvido
359,5085,312,defeito,2024-07-19,,escalado
360,2948,1438,cobrança,2023-08-03,2023-08-12,resolvido
361,3509,546,dúvida,2024-05-16,,escalado
362,532,1415,atraso,2023-09-27,2023-10-16,resolvido
363,11339,432,defeito,2023-05-09,,escalado
364,11245,1408,dúvida,2023-11-14,,aberto
365,1102,712,troca,2023-03-21,2023-03-25,resolvido
366,10775,1451,defeito,2023-11-24,2023-11-28,resolvido
367,3954,2072,troca,2023-11-21,2023-11-26,resolvido
368,2714,23,troca,2024-02-13,2024-02-22,resolvido
369,2989,2748,defeito,2023-03-26,2023-04-02,resolvido
370,11105,2986,atraso,2023-09-08,2023-09-15,resolvido
371,9521,2453,atraso,2023-08-07,2023-08-16,resolvido
372,5914,1969,cobrança,2023-12-03,,aberto
373,8159,667,atraso,2024-04-14,2024-05-01,resolvido
374,1375,2669,dúvida,2024-12-30,2025-01-04,resolvido
375,12890,1533,dúvida,2023-12-28,,escalado
376,5725,6,atraso,2024-01-08,2024-01-16,resolvido
377,9785,129,atraso,2024-10-05,2024-10-23,resolvido
378,7840,1239,troca,2024-02-06,,aberto
379,2861,1618,atraso,2024-04-24,,aberto
380,4981,1703,troca,2024-08-08,,aberto
381,732,1687,dúvida,2023-09-11,,aberto
382,447,798,dúvida,2023-10-25,,escalado
383,7232,821,dúvida,2023-07-03,,aberto
384,7247,2005,troca,2024-05-06,,escalado
385,8264,1771,cobrança,2023-11-20,,aberto
386,5489,1791,atraso,2024-11-27,2024-12-03,resolvido
387,9265,179,defeito,2024-06-22,,escalado
388,12003,1050,defeito,2023-06-15,,aberto
389,3030,1208,troca,2023-07-01,2023-07-05,resolvido
390,12696,2890,atraso,2023-09-21,,aberto
391,8024,2831,dúvida,2023-12-07,2023-12-14,resolvido
392,10506,698,defeito,2024-02-01,,aberto
393,7194,2647,dúvida,2024-07-26,,aberto
394,8807,792,defeito,2024-09-02,,escalado
395,1536,2698,atraso,2023-04-21,2023-04-28,resolvido
396,2216,697,defeito,2024-07-18,2024-07-27,resolvido
397,460,1985,dúvida,2023-04-11,2023-04-13,resolvido
398,408,2149,dúvida,2023-11-26,2023-11-30,resolvido
399,8616,2355,defeito,2023-05-27,,aberto
400,4521,1087,atraso,2024-05-04,,aberto
401,6525,1669,atraso,2024-06-22,,escalado
402,878,988,cobrança,2023-05-20,2023-05-30,resolvido
403,4217,508,cobrança,2023-01-14,,aberto
404,7930,2126,troca,2024-04-11,,aberto
405,7451,2551,atraso,2023-11-06,,aberto
406,11320,2700,cobrança,2024-11-15,2024-11-19,resolvido
407,3906,1032,troca,2023-07-28,,escalado
408,5603,584,cobrança,2024-10-21,2024-10-30,resolvido
409,7847,1010,defeito,2023-05-07,2023-05-11,resolvido
410,5575,1890,atraso,2023-07-30,2023-08-06,resolvido
411,993,2771,dúvida,2023-07-05,2023-07-15,resolvido
412,11441,2424,dúvida,2024-05-28,,aberto
413,727,721,troca,2024-04-26,2024-04-29,resolvido
414,8878,23,dúvida,2023-11-23,,escalado
415,9285,1271,troca,2024-01-27,,escalado
416,11167,2165,troca,2023-10-31,2023-11-06,resolvido
417,13265,1595,atraso,2024-10-22,2024-11-05,resolvido
418,11920,969,atraso,2023-09-05,2023-09-10,resolvido
419,9773,418,defeito,2023-11-21,,aberto
420,5470,938,defeito,2024-07-14,2024-07-16,resolvido
421,6016,84,atraso,2023-12-13,2023-12-25,resolvido
422,14679,2557,defeito,2023-09-22,2023-10-01,resolvido
423,5780,482,atraso,2023-11-10,,aberto
424,5576,131,cobrança,2024-08-20,,aberto
425,3245,11,troca,2024-06-26,2024-07-01,resolvido
426,7526,1642,defeito,2023-11-23,,escalado
427,7651,1141,atraso,2024-12-30,2025-01-10,resolvido
428,7015,2729,atraso,2024-12-11,2024-12-19,resolvido
429,4961,2051,dúvida,2023-04-19,,escalado
430,9286,296,cobrança,2023-12-01,,escalado
431,4896,450,troca,2024-04-20,2024-04-29,resolvido
432,5703,538,troca,2024-02-08,,aberto
433,2197,1755,defeito,2023-12-29,2024-01-08,resolvido
434,14435,2563,defeito,2023-09-23,2023-09-29,resolvido
435,11583,2343,atraso,2023-07-26,2023-08-11,resolvido
436,12272,2609,defeito,2023-03-08,2023-03-15,resolvido
437,3730,243,atraso,2024-12-03,2024-12-19,resolvido
438,7590,865,atraso,2023-11-27,,escalado
439,277,1295,defeito,2024-01-14,,aberto
440,12702,318,defeito,2023-06-07,2023-06-11,resolvido
441,2705,234,troca,2023-10-24,2023-11-03,resolvido
442,6679,783,atraso,2023-09-14,,aberto
443,4669,194,troca,2023-07-20,2023-07-21,resolvido
444,4696,1137,atraso,2024-02-24,2024-03-10,resolvido
445,11664,1959,atraso,2024-04-15,2024-04-30,resolvido
446,11453,1400,defeito,2024-12-29,2025-01-04,resolvido
447,12510,1465,cobrança,2023-02-27,,aberto
448,1814,1553,atraso,2023-04-17,2023-05-06,resolvido
449,2923,2125,dúvida,2024-09-28,,escalado
450,11,75,cobrança,2023-10-19,2023-10-25,resolvido
451,8804,1280,cobrança,2023-11-28,2023-12-07,resolvido
452,9119,1702,atraso,2023-12-15,,aberto
453,6113,2288,atraso,2023-11-18,2023-11-28,resolvido
454,5423,2474,atraso,2024-03-15,2024-03-28,resolvido
455,14818,1373,troca,2024-11-19,,aberto
456,12607,2925,defeito,2024-01-24,2024-01-31,resolvido
457,200,1726,atraso,2023-10-09,2023-10-22,resolvido
458,9051,1117,atraso,2023-11-05,2023-11-17,resolvido
459,1995,1404,dúvida,2023-08-10,2023-08-17,resolvido
460,5522,1114,dúvida,2023-02-25,2023-03-02,resolvido
461,12630,1723,troca,2024-11-29,2024-12-05,resolvido
462,8855,1259,cobrança,2024-09-14,2024-09-20,resolvido
463,3327,165,atraso,2023-10-10,2023-10-30,resolvido
464,4155,646,cobrança,2024-04-19,2024-04-27,resolvido
465,3536,1835,troca,2023-10-02,,escalado
466,13967,772,defeito,2023-03-18,,aberto
467,7280,458,atraso,2023-03-24,2023-03-30,resolvido
468,8810,2533,cobrança,2023-12-05,2023-12-06,resolvido
469,10767,1401,atraso,2024-08-12,2024-08-29,resolvido
470,13444,1891,atraso,2023-11-23,,escalado
471,10335,1259,dúvida,2024-10-22,2024-10-26,resolvido
472,1325,482,cobrança,2023-08-06,2023-08-12,resolvido
473,1149,666,atraso,2024-02-02,,aberto
474,7812,1962,cobrança,2024-12-10,,escalado
475,5667,1793,dúvida,2023-07-30,2023-08-06,resolvido
476,7556,1986,troca,2024-05-12,,aberto
477,8808,1935,cobrança,2024-02-22,2024-02-24,resolvido
478,6645,267,troca,2023-12-11,2023-12-16,resolvido
479,11158,114,atraso,2024-06-27,2024-07-16,resolvido
480,1998,1853,cobrança,2023-12-15,2023-12-21,resolvido
481,13702,468,dúvida,2024-06-04,2024-06-08,resolvido
482,2904,2939,atraso,2023-10-17,,aberto
483,13498,798,dúvida,2023-03-16,2023-03-17,resolvido
484,1773,1001,defeito,2024-06-15,2024-06-24,resolvido
485,10863,2154,troca,2024-09-02,2024-09-06,resolvido
486,11524,911,cobrança,2023-01-14,2023-01-23,resolvido
487,9291,1850,cobrança,2023-07-26,2023-08-04,resolvido
488,8994,2204,dúvida,2023-11-26,2023-11-29,resolvido
489,14184,1867,dúvida,2024-11-01,2024-11-06,resolvido
490,8686,1461,cobrança,2023-04-19,,escalado
491,1644,2162,dúvida,2024-11-26,2024-12-03,resolvido
492,1287,935,atraso,2024-12-30,2025-01-18,resolvido
493,14252,2526,dúvida,2023-12-28,2023-12-30,resolvido
494,14959,1828,troca,2024-04-25,2024-04-29,resolvido
495,7107,2332,dúvida,2023-11-25,2023-11-30,resolvido
496,7445,2288,dúvida,2023-08-22,2023-09-01,resolvido
